#body,head,ruleId,isAgg
transferFrom,spentTotal,7,true
burn,allBurn,21,true
transferFrom,transfer,0,false
totalBurn,balanceOf,6,false
mint,totalMint,11,true
recv_transferFrom,transferFrom,20,false
recv_burn,burn,5,false
transfer,totalOut,15,true
totalIn,balanceOf,6,false
burnFrom,burn,14,false
allMint,totalSupply,12,false
totalMint,balanceOf,6,false
allBurn,totalSupply,12,false
mint,allMint,3,true
increaseAllowance,allowanceTotal,24,true
recv_burnFrom,burnFrom,2,false
burn,totalBurn,10,true
burnFrom,transferFrom,23,false
spentTotal,allowance,17,false
totalSupply,unequalBalance,4,false
recv_approve,increaseAllowance,19,false
allowanceTotal,allowance,17,false
totalBalances,unequalBalance,4,false
transfer,totalIn,9,true
totalOut,balanceOf,6,false
balanceOf,totalBalances,16,true
recv_mint,mint,18,false
recv_transfer,transfer,13,false
