#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
unlockTime,canTransfer,1,false,false
mint,allMint,4,true,false
precirculated,canTransfer,5,false,false
totalBalances,unequalBalance,6,false,false
totalSupply,unequalBalance,6,false,false
owner,burn,8,false,true
balanceOf,burn,8,false,true
totalBurn,balanceOf,9,false,false
totalMint,balanceOf,9,false,false
totalIn,balanceOf,9,false,false
totalOut,balanceOf,9,false,false
transferFrom,spentTotal,10,true,false
transfer,totalIn,11,true,false
increaseAllowance,allowanceTotal,12,true,false
owner,precirculated,13,false,true
burn,totalBurn,14,true,false
mint,totalMint,15,true,false
allMint,totalSupply,16,false,false
allBurn,totalSupply,16,false,false
balanceOf,transfer,17,false,true
transfer,totalOut,18,true,false
balanceOf,totalBalances,19,true,false
owner,precirculated,20,false,true
allowanceTotal,allowance,22,false,false
spentTotal,allowance,22,false,false
owner,mint,23,false,true
allowance,increaseAllowance,24,false,true
allowance,transferFrom,25,false,true
balanceOf,transferFrom,25,false,true
burn,allBurn,26,true,false
