#body,head,ruleId,isAgg
bidTotal,balance,7,false
recv_withdraw,withdraw,1,false
highestBid,bid,10,false
balance,withdraw,1,false
end,send,2,false
recv_bid,bid,10,false
withdraw,send,8,false
withdrawCount,repeatWithdraw,13,false
highestBid,withdraw,5,false
balance,withdraw,5,false
recv_withdraw,withdraw,5,false
end,withdraw,1,false
bid,highestBid,0,true
end,bid,10,false
withdraw,withdrawCount,6,true
end,withdraw,5,false
withdraw,withdrawTotal,3,true
withdrawTotal,balance,7,false
recv_endAuction,end,4,false
end,end,4,false
highestBid,withdraw,1,false
recv_endAuction,send,2,false
bid,bidTotal,12,true
highestBid,send,2,false
