#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
swapOwner,effectiveTime,1,false,false
mint,allMint,2,true,false
newOwner,owner,3,false,false
effectiveTime,owner,3,false,false
totalBalances,unequalBalance,4,false,false
totalSupply,unequalBalance,4,false,false
balanceOf,burn,5,false,true
owner,burn,5,false,true
effectiveTime,owner,6,false,false
oldOwner,owner,6,false,false
transferFrom,spentTotal,7,true,false
transfer,totalIn,9,true,false
swapOwner,oldOwner,10,false,false
burn,totalBurn,12,true,false
mint,totalMint,13,true,false
allMint,totalSupply,14,false,false
allBurn,totalSupply,14,false,false
balanceOf,transfer,15,false,true
transfer,totalOut,16,true,false
balanceOf,totalBalances,17,true,false
totalOut,balanceOf,19,false,false
totalIn,balanceOf,19,false,false
totalMint,balanceOf,19,false,false
totalBurn,balanceOf,19,false,false
allowanceTotal,allowance,20,false,false
spentTotal,allowance,20,false,false
owner,mint,21,false,true
allowance,transferFrom,22,false,true
balanceOf,transferFrom,22,false,true
burn,allBurn,23,true,false
swapOwner,newOwner,24,false,false
allowance,increaseAllowance,25,false,true
increaseAllowance,allowanceTotal,26,true,false
