#body,head,ruleId,isAgg
transferFrom,spentTotal,7,true
recv_unpause,paused,23,false
allowanceTotal,allowance,22,false
burn,totalBurn,15,true
recv_mint,mint,13,false
allBurn,totalSupply,17,false
balanceOf,totalBalances,19,true
spentTotal,allowance,22,false
recv_renouncePauser,isPauser,14,false
totalIn,balanceOf,6,false
transfer,totalOut,18,true
burn,allBurn,24,true
increaseAllowance,allowanceTotal,26,true
totalMint,balanceOf,6,false
mint,totalMint,16,true
transferFrom,transfer,0,false
mint,allMint,2,true
recv_addPauser,isPauser,21,false
totalBurn,balanceOf,6,false
totalSupply,unequalBalance,4,false
recv_approve,increaseAllowance,25,false
recv_transfer,transfer,3,false
allMint,totalSupply,17,false
recv_pause,paused,11,false
totalBalances,unequalBalance,4,false
recv_transferFrom,transferFrom,1,false
recv_burn,burn,10,false
transfer,totalIn,9,true
totalOut,balanceOf,6,false
