#body,head,ruleId,isAgg,isTx
allowance,transferFrom,0,false,true
maxFee,transferFrom,0,false,true
rate,transferFrom,0,false,true
balanceOf,transferFrom,0,false,true
isBlackListed,transferFrom,0,false,true
rate,transfer,1,false,true
balanceOf,transfer,1,false,true
maxFee,transfer,1,false,true
isBlackListed,transfer,1,false,true
transferFromWithFee,transferFromWithoutFee,2,false,false
transferOwnership,owner,3,false,false
paused,unpause,4,false,true
owner,unpause,4,false,true
owner,transferWithoutFee,7,false,false
transferWithFee,transferWithoutFee,7,false,false
spentTotal,allowance,8,false,false
allowanceTotal,allowance,8,false,false
redeem,allRedeem,9,true,false
destroyBlackFunds,redeem,10,false,false
allIssue,totalSupply,11,false,false
allRedeem,totalSupply,11,false,false
transferWithoutFee,totalIn,12,true,false
balanceOf,destroyBlackFunds,13,false,true
isBlackListed,destroyBlackFunds,13,false,true
owner,destroyBlackFunds,13,false,true
transferWithoutFee,totalOut,14,true,false
setParams,maxFee,15,false,false
transferFrom,transferFromWithFee,16,false,false
owner,setParams,17,false,true
owner,addBlackList,18,false,true
transferFromWithoutFee,transferWithoutFee,19,false,false
totalOut,balanceOf,20,false,false
totalIssue,balanceOf,20,false,false
totalIn,balanceOf,20,false,false
totalRedeem,balanceOf,20,false,false
setParams,rate,21,false,false
pause,paused,22,false,false
transferFromWithoutFee,spentTotal,23,true,false
unpause,paused,25,false,false
totalBalances,unequalBalance,27,false,false
totalSupply,unequalBalance,27,false,false
redeem,totalRedeem,28,true,false
transfer,transferWithFee,29,false,false
addBlackList,isBlackListed,30,false,false
owner,redeem,31,false,true
balanceOf,redeem,31,false,true
owner,transferOwnership,32,false,true
owner,issue,33,false,true
balanceOf,totalBalances,34,true,false
transferFromWithFee,transferFromWithoutFee,35,false,false
owner,transferFromWithoutFee,35,false,false
owner,removeBlackList,36,false,true
issue,totalIssue,37,true,false
removeBlackList,isBlackListed,39,false,false
paused,pause,40,false,true
owner,pause,40,false,true
transferWithFee,transferWithoutFee,41,false,false
allowance,increaseAllowance,42,false,true
issue,allIssue,44,true,false
increaseAllowance,allowanceTotal,46,true,false
