#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
claimOwnership,pendingOwner,1,false,false
mint,allMint,2,true,false
balanceOf,transfer,3,false,true
paused,transfer,3,false,true
reclaimToken,transfer,4,false,false
reclaimToken,send,5,false,false
totalSupply,unequalBalance,6,false,false
totalBalances,unequalBalance,6,false,false
owner,reclaimToken,7,false,true
balanceOf,reclaimToken,7,false,true
owner,burn,8,false,true
balanceOf,burn,8,false,true
totalBurn,balanceOf,9,false,false
totalIn,balanceOf,9,false,false
totalMint,balanceOf,9,false,false
totalOut,balanceOf,9,false,false
owner,pendingOwner,10,false,true
transferFrom,spentTotal,11,true,false
transfer,totalIn,13,true,false
pendingOwner,claimOwnership,14,false,true
paused,transferFrom,15,false,true
balanceOf,transferFrom,15,false,true
allowance,transferFrom,15,false,true
owner,paused,16,false,true
burn,totalBurn,18,true,false
mint,totalMint,19,true,false
allBurn,totalSupply,20,false,false
allMint,totalSupply,20,false,false
transfer,totalOut,21,true,false
balanceOf,totalBalances,22,true,false
spentTotal,allowance,23,false,false
allowanceTotal,allowance,23,false,false
owner,paused,24,false,true
owner,mint,25,false,true
burn,allBurn,26,true,false
claimOwnership,owner,27,false,false
allowance,increaseAllowance,28,false,true
increaseAllowance,allowanceTotal,29,true,false
