#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
swapOwner,effectiveTime,2,false,false
mint,allMint,3,true,false
newOwner,owner,4,false,false
effectiveTime,owner,4,false,false
totalBalances,unequalBalance,5,false,false
totalSupply,unequalBalance,5,false,false
owner,burn,6,false,true
balanceOf,burn,6,false,true
totalMint,balanceOf,7,false,false
totalOut,balanceOf,7,false,false
totalIn,balanceOf,7,false,false
totalBurn,balanceOf,7,false,false
oldOwner,owner,8,false,false
effectiveTime,owner,8,false,false
transferFrom,spentTotal,10,true,false
transfer,totalIn,11,true,false
swapOwner,oldOwner,12,false,false
burn,totalBurn,14,true,false
mint,totalMint,15,true,false
allMint,totalSupply,16,false,false
allBurn,totalSupply,16,false,false
balanceOf,transfer,17,false,true
transfer,totalOut,18,true,false
balanceOf,totalBalances,19,true,false
allowanceTotal,allowance,20,false,false
spentTotal,allowance,20,false,false
owner,mint,21,false,true
owner,swapOwner,22,false,true
balanceOf,transferFrom,23,false,true
allowance,transferFrom,23,false,true
burn,allBurn,24,true,false
swapOwner,newOwner,25,false,false
allowance,increaseAllowance,26,false,true
increaseAllowance,allowanceTotal,27,true,false
