#body,head,ruleId,isAgg,isTx
freeze,totalFreeze,0,true,false
transferFrom,transfer,1,false,false
totalMint,balanceOf,3,false,false
totalIn,balanceOf,3,false,false
freezeOf,balanceOf,3,false,false
totalOut,balanceOf,3,false,false
totalBurn,balanceOf,3,false,false
freezeOf,freezeSum,4,true,false
balanceOf,burn,5,false,true
owner,burn,5,false,true
transferFrom,spentTotal,6,true,false
freezeOf,unfreeze,7,false,true
transfer,totalIn,8,true,false
mint,allMint,9,true,false
totalBalances,unequalBalance,10,false,false
totalSupply,unequalBalance,10,false,false
freezeSum,unequalBalance,10,false,false
totalUnfreeze,freezeOf,11,false,false
totalFreeze,freezeOf,11,false,false
unfreeze,totalUnfreeze,12,true,false
burn,totalBurn,13,true,false
mint,totalMint,14,true,false
allMint,totalSupply,15,false,false
allBurn,totalSupply,15,false,false
balanceOf,transfer,16,false,true
transfer,totalOut,17,true,false
balanceOf,totalBalances,18,true,false
balanceOf,freeze,19,false,true
allowanceTotal,allowance,21,false,false
spentTotal,allowance,21,false,false
owner,mint,22,false,true
allowance,increaseAllowance,23,false,true
allowance,transferFrom,24,false,true
balanceOf,transferFrom,24,false,true
burn,allBurn,25,true,false
increaseAllowance,allowanceTotal,26,true,false
