#body,head,ruleId,isAgg,isTx
 ,setApprovedForAll,0,false,true
exists,transfer,1,false,true
owner,transfer,1,false,true
approval,approved,2,false,false
ownerOf,approved,2,false,false
setApprovedForAll,isApprovedForAll,3,false,false
ownerOf,balanceOf,4,true,false
approved,transfer,5,false,true
setApproval,approval,6,false,false
ownerOf,transfer,7,false,true
isApprovedForAll,transfer,7,false,true
ownerOf,setApproval,8,false,true
latestTransfer,ownerOf,9,false,false
ownerOf,tokenNoOwner,10,false,false
exists,tokenNoOwner,10,false,false
ownerOf,transfer,11,false,true
latestTransfer,exists,13,false,false
exists,transfer,14,false,true
owner,transfer,14,false,true
ownerOf,transfer,14,false,true
transfer,latestTransfer,15,true,false
